name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height_feet,height_inches,height
Zach Strief,Zach,Strief,Cincinnati,OH,USA,9/22/1983,Northwestern,New Orleans Saints,7th,210,2006,G,6,7,6-7
Pat McQuistan,Pat,McQuistan,Lebanon,OR,USA,4/30/1983,Weber St.,Dallas Cowboys,7th,211,2006,T,6,6,6-6
Fred Evans,Fred,Evans,Chicago,IL,USA,11/6/1983,Texas St.,Miami Dolphins,7th,212,2006,DT,6,5,6-5
James Wyche,James,Wyche,Roosevelt,NY,USA,4/19/1982,Syracuse,Jacksonville Jaguars,7th,213,2006,DE,6,5,6-5
Chris Morris,Chris,Morris,Lambertville,MI,USA,2/22/1983,Michigan St.,Oakland Raiders,7th,214,2006,C,6,3,6-3
Cortland Finnegan,Cortland,Finnegan,Fayetteville,NC,USA,2/2/1984,Samford,Tennessee Titans,7th,215,2006,DB,5,9,5-9
Terrance Pennington,Terrance,Pennington,Los Angeles,CA,USA,9/25/1983,New Mexico,Buffalo Bills,7th,216,2006,T,6,7,6-7
Todd Watkins,Todd,Watkins,San Diego,CA,USA,6/22/1983,BYU,Atlanta Falcons,7th,218,2006,WR,6,3,6-3
Ryan LaCasse,Ryan,LaCasse,Stoughton,MA,USA,2/6/1983,Syracuse,Baltimore Ravens,7th,219,2006,LB,6,2,6-2
Titus Adams,Titus,Adams,Omaha,NE,USA,1/28/1983,Nebraska,New York Jets,7th,220,2006,DT,6,3,6-3
Tim McGarigle,Tim,McGarigle,Chicago,IL,USA,10/25/1983,Northwestern,St. Louis Rams,7th,221,2006,LB,6,0,6-0
Justin Hamilton,Justin,Hamilton,Norton,VA,USA,9/17/1982,Virginia Tech,Cleveland Browns,7th,222,2006,RB,6,3,6-3
Chase Page,Chase,Page,Charleston,SC,USA,5/20/1983,North Carolina,San Diego Chargers,7th,225,2006,DT,6,4,6-4
Rodrique Wright,Rodrique,Wright,Houston,TX,USA,7/31/1984,Texas,Miami Dolphins,7th,226,2006,DT,6,5,6-5
Jarrad Page,Jarrad,Page,Oakland,CA,USA,10/19/1984,UCLA,Kansas City Chiefs,7th,228,2006,DB,6,2,6-2
Willie Andrews,Willie,Andrews,Longview,TX,USA,11/2/1983,Baylor,New England Patriots,7th,229,2006,DB,5,9,5-9
Devin Aromashodu,Devin,Aromashodu,Miami Springs,FL,USA,5/23/1984,Auburn,Miami Dolphins,7th,233,2006,WR,6,2,6-2
Will Montgomery,Will,Montgomery,Brunswick,ME,USA,2/13/1983,Virginia Tech,Carolina Panthers,7th,234,2006,G,6,3,6-3
Dee Webb,Dee,Webb,Jacksonville,FL,USA,12/8/1984,Florida,Jacksonville Jaguars,7th,236,2006,DB,5,11,5-11
Stanley McClover,Stanley,McClover,Chicago,IL,USA,12/16/1984,Auburn,Carolina Panthers,7th,237,2006,DE,6,3,6-3
T.J. Rushing,TJ,Rushing,Pauls Valley,OK,USA,6/8/1983,Stanford,Indianapolis Colts,7th,238,2006,DB,5,10,5-10
Ryan Plackemeier,Ryan,Plackemeier,Colorado Springs,CO,USA,3/5/1984,Wake Forest,Seattle Seahawks,7th,239,2006,P,6,3,6-3
Charles Bennett,Charles,Bennett,Camden,SC,USA,4/4/1983,Clemson,Tampa Bay Buccaneers,7th,241,2006,LB,6,3,6-3
Mark Setterstrom,Mark,Setterstrom,Northfield,MN,USA,12/6/1983,Minnesota,St. Louis Rams,7th,242,2006,G,6,3,6-3
Tony Palmer,Tony,Palmer,Midwest City,OK,USA,2/23/1983,Missouri,St. Louis Rams,7th,243,2006,G,6,1,6-1
Tim Massaquoi,Tim,Massaquoi,Manhattan,NY,USA,7/8/1982,Michigan,Tampa Bay Buccaneers,7th,244,2006,TE,6,2,6-2
Spencer Toone,Spencer,Toone,Idaho Falls,ID,USA,8/25/1980,Utah,Tennessee Titans,7th,245,2006,LB,6,1,6-1
Quinton Ganther,Quinton,Ganther,Oakland,CA,USA,7/15/1984,Utah,Tennessee Titans,7th,246,2006,RB,5,10,5-10
Anthony Cannon,Anthony,Cannon,Pensacola,FL,USA,12/31/1984,Tulane,Detroit Lions,7th,247,2006,LB,5,10,5-10
Aaron Merz,Aaron,Merz,Bakersfield,CA,USA,8/27/1983,California,Buffalo Bills,7th,248,2006,G,6,3,6-3
Ben Obomanu,Ben,Obomanu,Selma,AL,USA,10/30/1983,Auburn,Seattle Seahawks,7th,249,2006,WR,6,0,6-0
David Anderson,David,Anderson,Westlake Village,CA,USA,7/28/1983,Colorado St.,Houston Texans,7th,251,2006,WR,5,10,5-10
Marques Colston,Marques,Colston,Harrisburg,PA,USA,6/5/1983,Hofstra,New Orleans Saints,7th,252,2006,WR,6,4,6-4
Dave Tollefson,Dave,Tollefson,Walnut Creek,CA,USA,5/19/1981,NW Missouri St.,Green Bay Packers,7th,253,2006,DE,6,4,6-4
,,,,,,,,,,,,,,,
